21:46:55.847 [main]   DEBUG o.e.j.util.thread.QueuedThreadPool - Starting Thread[qtp1556595366-12,5,main]
21:46:55.848 [qtp1556595366-11]   DEBUG o.e.j.util.thread.QueuedThreadPool - Runner started for QueuedThreadPool[qtp1556595366]@5cc7c2a6{STARTING,8<=2<=200,i=2,r=-1,q=0}[ReservedThreadExecutor@e720b71{s=0/4,p=0}]
21:46:55.850 [main]   DEBUG o.e.j.util.thread.QueuedThreadPool - Starting Thread[qtp1556595366-13,5,main]
21:46:55.851 [main]   DEBUG o.e.j.util.thread.QueuedThreadPool - Starting Thread[qtp1556595366-14,5,main]
21:46:55.851 [main]   DEBUG o.e.j.util.thread.QueuedThreadPool - Starting Thread[qtp1556595366-15,5,main]
21:46:55.851 [main]   DEBUG o.e.j.util.thread.QueuedThreadPool - Starting Thread[qtp1556595366-16,5,main]
21:46:55.851 [main]   DEBUG o.e.j.util.thread.QueuedThreadPool - Starting Thread[qtp1556595366-17,5,main]
21:46:55.852 [main]   DEBUG o.e.j.util.thread.QueuedThreadPool - Starting Thread[qtp1556595366-18,5,main]
21:46:55.852 [main]   DEBUG o.e.j.u.component.AbstractLifeCycle - STARTED @1376ms QueuedThreadPool[qtp1556595366]@5cc7c2a6{STARTED,8<=8<=200,i=8,r=4,q=0}[ReservedThreadExecutor@e720b71{s=0/4,p=0}]
21:46:55.853 [main]   DEBUG o.e.j.u.component.AbstractLifeCycle - starting ContextHandlerCollection@25af5db5{STOPPED}
21:46:55.853 [main]   DEBUG o.e.j.server.handler.AbstractHandler - starting ContextHandlerCollection@25af5db5{STARTING}
21:46:55.853 [main]   DEBUG o.e.j.u.component.AbstractLifeCycle - starting o.e.j.w.WebAppContext@4e7dc304{/,null,UNAVAILABLE}{target/web-shop-project-1.0-SNAPSHOT.war}
21:46:55.857 [qtp1556595366-12]   DEBUG o.e.j.util.thread.QueuedThreadPool - Runner started for QueuedThreadPool[qtp1556595366]@5cc7c2a6{STARTED,8<=8<=200,i=8,r=4,q=0}[ReservedThreadExecutor@e720b71{s=0/4,p=0}]
21:46:55.863 [main]   DEBUG o.eclipse.jetty.webapp.WebAppContext - Thread Context classloader sun.misc.Launcher$AppClassLoader@18b4aac2
21:46:55.864 [main]   DEBUG o.eclipse.jetty.webapp.WebAppContext - Parent class loader: sun.misc.Launcher$ExtClassLoader@5479e3f 
21:46:55.864 [main]   DEBUG o.eclipse.jetty.webapp.WebAppContext - preConfigure o.e.j.w.WebAppContext@4e7dc304{/,null,UNAVAILABLE}{target/web-shop-project-1.0-SNAPSHOT.war} with org.eclipse.jetty.annotations.AnnotationConfiguration@17d0685f
21:46:55.864 [main]   DEBUG o.eclipse.jetty.webapp.WebAppContext - preConfigure o.e.j.w.WebAppContext@4e7dc304{/,null,UNAVAILABLE}{target/web-shop-project-1.0-SNAPSHOT.war} with org.eclipse.jetty.webapp.WebXmlConfiguration@3891771e
21:46:55.907 [qtp1556595366-16]   DEBUG o.e.j.util.thread.QueuedThreadPool - Runner started for QueuedThreadPool[qtp1556595366]@5cc7c2a6{STARTED,8<=8<=200,i=8,r=4,q=0}[ReservedThreadExecutor@e720b71{s=0/4,p=0}]
21:46:55.909 [qtp1556595366-14]   DEBUG o.e.j.util.thread.QueuedThreadPool - Runner started for QueuedThreadPool[qtp1556595366]@5cc7c2a6{STARTED,8<=8<=200,i=8,r=4,q=0}[ReservedThreadExecutor@e720b71{s=0/4,p=0}]
21:46:55.916 [qtp1556595366-17]   DEBUG o.e.j.util.thread.QueuedThreadPool - Runner started for QueuedThreadPool[qtp1556595366]@5cc7c2a6{STARTED,8<=8<=200,i=8,r=4,q=0}[ReservedThreadExecutor@e720b71{s=0/4,p=0}]
21:46:55.923 [qtp1556595366-13]   DEBUG o.e.j.util.thread.QueuedThreadPool - Runner started for QueuedThreadPool[qtp1556595366]@5cc7c2a6{STARTED,8<=8<=200,i=8,r=4,q=0}[ReservedThreadExecutor@e720b71{s=0/4,p=0}]
21:46:55.924 [qtp1556595366-15]   DEBUG o.e.j.util.thread.QueuedThreadPool - Runner started for QueuedThreadPool[qtp1556595366]@5cc7c2a6{STARTED,8<=8<=200,i=8,r=4,q=0}[ReservedThreadExecutor@e720b71{s=0/4,p=0}]
21:46:55.926 [qtp1556595366-18]   DEBUG o.e.j.util.thread.QueuedThreadPool - Runner started for QueuedThreadPool[qtp1556595366]@5cc7c2a6{STARTED,8<=8<=200,i=8,r=4,q=0}[ReservedThreadExecutor@e720b71{s=0/4,p=0}]
21:46:55.927 [main]   DEBUG o.eclipse.jetty.webapp.WebDescriptor - jar:file:/C:/Users/Ted/.m2/repository/org/eclipse/jetty/jetty-webapp/9.4.30.v20200611/jetty-webapp-9.4.30.v20200611.jar!/org/eclipse/jetty/webapp/webdefault.xml: Calculated metadatacomplete = False with version=3.1
21:46:55.950 [main]   DEBUG o.eclipse.jetty.webapp.WebDescriptor - file:///C:/JavaCourse/JavaPro/WebShopProject/src/main/webapp/WEB-INF/web.xml: Calculated metadatacomplete = False with version=3.1
21:46:55.950 [main]   DEBUG o.eclipse.jetty.webapp.WebAppContext - preConfigure o.e.j.w.WebAppContext@4e7dc304{/,null,UNAVAILABLE}{target/web-shop-project-1.0-SNAPSHOT.war} with org.eclipse.jetty.webapp.WebInfConfiguration@67b467e9
21:46:56.031 [main]   DEBUG o.e.jetty.webapp.WebInfConfiguration - Set temp dir C:\Users\Ted\AppData\Local\Temp\jetty-0_0_0_0-8081-web-shop-project-1_0-SNAPSHOT_war-_-any-3899544273141061653.dir
21:46:56.032 [main]   DEBUG o.e.jetty.webapp.WebInfConfiguration - Try webapp=file:///C:/JavaCourse/JavaPro/WebShopProject/target/web-shop-project-1.0-SNAPSHOT.war, exists=true, directory=false file=C:\JavaCourse\JavaPro\WebShopProject\target\web-shop-project-1.0-SNAPSHOT.war
21:46:56.073 [main]   DEBUG o.e.jetty.webapp.WebInfConfiguration - Extract jar:file:///C:/JavaCourse/JavaPro/WebShopProject/target/web-shop-project-1.0-SNAPSHOT.war!/ to C:\JavaCourse\JavaPro\WebShopProject\target\web-shop-project-1.0-SNAPSHOT
21:46:56.075 [main]   DEBUG o.e.jetty.util.resource.JarResource - Extract jar:file:///C:/JavaCourse/JavaPro/WebShopProject/target/web-shop-project-1.0-SNAPSHOT.war!/ to C:\JavaCourse\JavaPro\WebShopProject\target\web-shop-project-1.0-SNAPSHOT
21:46:56.075 [main]   DEBUG o.e.jetty.util.resource.JarResource - Extracting entry = null from jar file:/C:/JavaCourse/JavaPro/WebShopProject/target/web-shop-project-1.0-SNAPSHOT.war
21:46:56.284 [main]   DEBUG o.e.jetty.webapp.WebInfConfiguration - webapp=file:///C:/JavaCourse/JavaPro/WebShopProject/target/web-shop-project-1.0-SNAPSHOT/
21:46:56.286 [main]   DEBUG o.e.jetty.webapp.WebInfConfiguration - Matching container urls [file:/C:/Program%20Files/Java/jdk1.8.0_251/jre/lib/ext/access-bridge-64.jar, file:/C:/Program%20Files/Java/jdk1.8.0_251/jre/lib/ext/cldrdata.jar, file:/C:/Program%20Files/Java/jdk1.8.0_251/jre/lib/ext/dnsns.jar, file:/C:/Program%20Files/Java/jdk1.8.0_251/jre/lib/ext/jaccess.jar, file:/C:/Program%20Files/Java/jdk1.8.0_251/jre/lib/ext/jfxrt.jar, file:/C:/Program%20Files/Java/jdk1.8.0_251/jre/lib/ext/localedata.jar, file:/C:/Program%20Files/Java/jdk1.8.0_251/jre/lib/ext/nashorn.jar, file:/C:/Program%20Files/Java/jdk1.8.0_251/jre/lib/ext/sunec.jar, file:/C:/Program%20Files/Java/jdk1.8.0_251/jre/lib/ext/sunjce_provider.jar, file:/C:/Program%20Files/Java/jdk1.8.0_251/jre/lib/ext/sunmscapi.jar, file:/C:/Program%20Files/Java/jdk1.8.0_251/jre/lib/ext/sunpkcs11.jar, file:/C:/Program%20Files/Java/jdk1.8.0_251/jre/lib/ext/zipfs.jar]
21:46:56.286 [main]   DEBUG o.e.jetty.webapp.WebInfConfiguration - Container paths selected:[]
21:46:56.313 [main]   DEBUG o.eclipse.jetty.webapp.WebAppContext - preConfigure o.e.j.w.WebAppContext@4e7dc304{/,file:///C:/JavaCourse/JavaPro/WebShopProject/target/web-shop-project-1.0-SNAPSHOT/,UNAVAILABLE}{target/web-shop-project-1.0-SNAPSHOT.war} with org.eclipse.jetty.plus.webapp.PlusConfiguration@fe18270
21:46:56.314 [main]   DEBUG o.e.j.util.DecoratedObjectFactory - Adding Decorator: org.eclipse.jetty.plus.webapp.PlusDecorator@5123a213
21:46:56.314 [main]   DEBUG o.eclipse.jetty.webapp.WebAppContext - preConfigure o.e.j.w.WebAppContext@4e7dc304{/,file:///C:/JavaCourse/JavaPro/WebShopProject/target/web-shop-project-1.0-SNAPSHOT/,UNAVAILABLE}{target/web-shop-project-1.0-SNAPSHOT.war} with org.eclipse.jetty.webapp.MetaInfConfiguration@52525845
21:46:56.314 [main]   DEBUG o.e.j.webapp.MetaInfConfiguration - org.eclipse.jetty.metainf.useCache = true
21:46:56.315 [main]   DEBUG o.e.j.u.component.ContainerLifeCycle - AttributeContainerMap@3b94d659{size=1} added {{},POJO}
